Taxonomy	Sample1	Sample10	Sample11	Sample12	Sample13	Sample14	Sample15	Sample16	Sample17	Sample18	Sample19	Sample2	Sample20	Sample21	Sample22	Sample23	Sample24	Sample25	Sample26	Sample27	Sample28	Sample29	Sample3	Sample30	Sample31	Sample32	Sample33	Sample34	Sample4	Sample5	Sample6	Sample7	Sample8	Sample9	Tax_detail
Veillonella	0	0.00659521846661171	0.0159529806884971	0.00659133709981168	0	0.0748580278781621	0.0552818828680898	0.142204164550533	0.0680112570356473	0.0577149587750294	0	0	0.000846432889963724	0	0	0.0578158458244111	0	0.0085924713584288	0.0269295503726857	0	0.00254075799280119	0.0102188025967781	0	0.0250227020482292	0.0539350577875619	0.0473012188044109	0.0453337761541016	0.0725978647686833	0	0.0095959595959596	0.0182940268900154	0	0.00519083969465649	0	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Veillonellaceae;g__Veillonella;
Lachnospira	0.0172608941709111	0	0	0	0	0	0	0	0	0	0.00179434092477571	0.076290543627227	0.0353083434099154	0.0473327166204132	0.0965210954848261	0	0.00268096514745308	0	0	0	0	0	0.0568038374147942	0	0	0	0	0	0.0845518118245391	0	0	0	0	0.0229007633587786	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Lachnospira;
Rothia	0	0.00741962077493817	0.0184718723761545	0.00470809792843691	0	0.0918946824987093	0.0383141762452107	0.0228542407313357	0.0384615384615385	0.0121711817824892	0	0	0	0	0	0.0346505742651353	0.00804289544235925	0.00900163666121113	0.00937725414763164	0	0.00508151598560237	0.0097379177686944	0	0.00847543133891636	0.0583379196477711	0.0156703424260012	0.0371969445366988	0.00540925266903915	0	0.00353535353535354	0.0123429579016972	0.00566929133858268	0.00213740458015267	0	k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Micrococcaceae;g__Rothia;
Akkermansia	0.0823429541595925	0	0	0	0	0	0	0	0	0	0	0.00365463682046597	0.000362756952841596	0.000925069380203515	0	0	0	0	0	0	0	0	0.00113607674829588	0	0	0	0	0	0.0256834075015893	0	0	0	0	0.0250817884405671	k__Bacteria;p__Verrucomicrobia;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Verrucomicrobiaceae;g__Akkermansia;
[Prevotella]	0	0.00494641384995878	0.00587741393786734	0.0564971751412429	0.00905432595573441	0.00154878678368611	0	0.0218384966988319	0.00515947467166979	0.00157047506870828	0	0	0	0	0	0.00272532606579716	0.0046916890080429	0.00981996726677578	0.0283722048569368	0	0.00254075799280119	0.0108199086318827	0	0.0192715164968217	0	0.00217643644805572	0.00714048488874128	0.0812811387900356	0	0.00404040404040404	0.0231430460656822	0.00913385826771653	0.0122137404580153	0	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__[Paraprevotellaceae];g__[Prevotella];
Psychrobacter	0	0	0	0	0.0784708249496982	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00359940715646835	0	0	0	0	0	0	0	0	0	0.00484901917566674	0	0.0415267175572519	0	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Psychrobacter;
Phascolarctobacterium	0.0758347481607244	0	0	0	0	0	0	0	0	0	0.0335403726708075	0.0550479671082686	0.0172914147521161	0.0146469318532223	0.0127313101406366	0	0.00335120643431635	0.00122749590834697	0	0.0273651290070367	0.000635189498200296	0	0.01931330472103	0	0	0	0	0	0.0186904005085823	0	0	0	0	0.0730643402399128	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Veillonellaceae;g__Phascolarctobacterium;
Parabacteroides	0	0	0	0	0	0	0	0	0	0	0.0157349896480331	0	0.0261185006045949	0.0755473327166204	0.028719467061436	0	0	0	0	0.0172009382329945	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Parabacteroides;
Flectobacillus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00240442414041837	0	0	0	0	0.0550903037029563	0	0	0	0	0	0	0	0.00251968503937008	0.00244274809160305	0	k__Bacteria;p__Bacteroidetes;c__Cytophagia;o__Cytophagales;f__Cytophagaceae;g__Flectobacillus;
Peptoniphilus	0	0.0206100577081616	0.0201511335012594	0.00753295668549906	0	0	0	0	0	0	0.00138026224982747	0	0	0	0	0.000778664590227759	0.049597855227882	0.0249590834697218	0.00817504207742246	0	0.0549438915943256	0.00997836018273623	0	0.00807183937039653	0	0	0	0	0	0.0265151515151515	0.0103592682389244	0.00976377952755906	0.00396946564885496	0	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__[Tissierellaceae];g__Peptoniphilus;
