Accession	Nlevel	Rep	FW(g)	DW(g)	N%(N/DW)	TotalN(mgN/plant)	NUtE(gDW/gN)	E%(15N/N)	15N(ug15N/plant)	NUE(gDW/gappliedN)	NupE(ug15N/ugapplied15N*100%)	NupE/DW	RNAsamples	AppliedN(mg)
Akita	H	three	0.252	0.022	5.73006135	1.260613497	17.45182013	0.217386667	2.740405661	1.65414	1.01497	46.135	Yes	13.3
Akita	H	three	0.192	0.022	5.794924909	1.27488348	17.256479	0.316525	4.035324935	1.65414	1.49456	67.93454545	No	13.3
Akita	H	three	0.185	0.021	5.208085612	1.093697979	19.20091324	0.325375	3.558619798	1.57895	1.31801	62.76238095	No	13.3
Akita	L	one	0.352	0.034	5.375722543	1.827745665	18.60215054	0.321106667	5.869013179	10.9395	13.9738	410.9941176	Yes	3.108
Akita	L	one	0.286	0.029	4.842473746	1.404317386	20.65060241	0.913976667	12.83513324	9.33076	30.5598	1053.786207	Yes	3.108
Akita	L	one	0.203	0.02	7.406015038	1.481203008	13.50253807	0.134726667	1.995575439	6.43501	4.75137	237.5685	No	3.108
Akita	L	one	0.124	0.011	3.516308671	0.386793954	28.43891403	0.971256667	3.756762063	3.53925	8.94467	813.1518182	No	3.108
Akita	L	one	0.094	0.009	4.63647199	0.417282479	21.56812339	0.170056667	0.709616675	2.89575	1.68956	187.7288889	No	3.108
Akita	L	two	0.435	0.039	5.012357884	1.954819575	19.95069034	1.15859	22.64834411	9.80885	41.9414	1075.420513	Yes	3.976
Akita	L	two	0.333	0.034	5.569620253	1.893670886	17.95454545	0.54089	10.24267646	8.55131	18.9679	557.8794118	No	3.976
Akita	L	two	0.306	0.027	5.107296137	1.378969957	19.57983193	0.99304	13.69372326	6.79074	25.3587	939.2111111	Yes	3.976
Akita	L	two	0.233	0.023	4.862876254	1.118461538	20.56396149	0.46538	5.205096308	5.78471	9.63907	419.09	No	3.976
Akita	L	two	0.192	0.019	5.512820513	1.047435897	18.13953488	0.53894	5.645051026	4.77867	10.4538	550.2	No	3.976
